cvegeomun,nom_juri,cvegeojuri
"08040",CUAUHTÉMOC,"0804"
"08041",CREEL,"0807"
"08042",OJINAGA,"0809"
"08043",CUAUHTÉMOC,"0804"
"08044",PARRAL,"0803"
"08045",CHIHUAHUA,"0801"
"08046",CREEL,"0807"
"08047",CREEL,"0807"
"08048",GÓMEZ FARÍAS,"0811"
"08049",CHIHUAHUA,"0801"
"08050",NUEVO CASAS GRANDES,"0805"
"08051",CREEL,"0807"
"08052",OJINAGA,"0809"
"08053",JUÁREZ,"0802"
"08054",CUAUHTÉMOC,"0804"
"08055",CHIHUAHUA,"0801"
"08056",PARRAL,"0803"
"08057",CHIHUAHUA,"0801"
"08058",CAMARGO,"0806"
"08059",PARRAL,"0803"
"08060",PARRAL,"0803"
"08061",CHIHUAHUA,"0801"
"08062",CAMARGO,"0806"
"08063",CUAUHTÉMOC,"0804"
"08064",PARRAL,"0803"
"08065",CREEL,"0807"
"08066",CREEL,"0807"
"08067",PARRAL,"0803"
"09002",AZCAPOTZALCO,"0902"
"09003",COYOACÁN,"0904"
"09004",CUAJIMALPA,"0907"
"09005",GUSTAVO A. MADERO,"0901"
"09006",IZTACALCO,"0903"
"09007",IZTAPALAPA,"0909"
"09008",MAGDALENA CONTRERAS,"0906"
"09009",MILPA ALTA,"0911"
"09010",ÁLVARO OBREGÓN,"0905"
"09011",TLÁHUAC,"0912"
"09012",TLALPAN,"0908"
"09013",XOCHIMILCO,"0910"
"09014",BENITO JUÁREZ,"0914"
"09015",CUAUHTÉMOC,"0915"
"09016",MIGUEL HIDALGO,"0913"
"09017",VENUSTIANO CARRANZA,"0916"
"10001",SANTIAGO PAPASQUIARO,"1003"
"10002",SANTIAGO PAPASQUIARO,"1003"
"10003",RODEO,"1004"
"10004",GÓMEZ PALACIO,"1002"
"10005",DURANGO,"1001"
"10006",GÓMEZ PALACIO,"1002"
"10007",GÓMEZ PALACIO,"1002"
"10008",DURANGO,"1001"
"10009",SANTIAGO PAPASQUIARO,"1003"
"10010",RODEO,"1004"
"10011",RODEO,"1004"
"10012",GÓMEZ PALACIO,"1002"
"10013",GÓMEZ PALACIO,"1002"
"10014",DURANGO,"1001"
"10015",GÓMEZ PALACIO,"1002"
"10016",DURANGO,"1001"
"10017",RODEO,"1004"
"10018",RODEO,"1004"
"10019",SANTIAGO PAPASQUIARO,"1003"
